"RECNUM","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"251525000000",52,59,1,1,1,0
"251528000000",78,NA,3,2,99,0
"251531000000",55,56,1,7,7,2
"251534000000",51,NA,3,1,99,0
"251537000000",53,52,1,1,1,0
"251537000000",53,52,1,1,1,0
"251538000000",69,NA,3,7,99,3
"251538000000",67,NA,3,2,99,0
"251542000000",60,NA,3,2,99,0
"251547000000",44,42,1,1,1,0
"251552000000",58,57,1,2,2,0
"251555000000",46,NA,3,7,99,2
"251557000000",49,49,2,1,1,9
"251557000000",50,55,1,2,2,0
"251563000000",61,NA,3,2,99,9
"251564000000",76,NA,3,2,99,9
"251566000000",65,NA,3,2,99,0
"251575000000",60,NA,3,7,99,2
"251579000000",64,67,1,1,1,9
"251579000000",60,NA,3,1,99,0
"251579000000",59,NA,3,7,99,2
"251579000000",59,NA,3,7,99,2
"251580000000",49,NA,3,2,99,9
"251584000000",49,50,1,2,2,0
"251596000000",NA,NA,NA,99,99,9
"251596000000",NA,NA,NA,99,99,9
"251608000000",66,NA,3,2,99,3
"251612000000",38,NA,4,2,99,0
"251614000000",46,42,1,1,1,0
"251636000000",55,52,1,2,2,9
"251656000000",53,NA,3,1,99,0
"251658000000",48,NA,3,1,99,0
"251661000000",42,44,1,1,1,0
"251666000000",50,NA,3,2,99,0
"251670000000",53,55,1,2,2,0
"251670000000",53,55,1,2,2,0
"251675000000",34,36,1,1,1,0
"251681000000",50,39,1,1,1,0
"251682000000",33,36,1,7,1,0
"251687000000",40,NA,4,2,99,9
"251689000000",41,41,1,2,2,3
"251689000000",33,34,1,1,1,1
"251689000000",NA,NA,NA,99,99,9
"251698000000",40,NA,4,2,99,9
"251715000000",41,40,1,1,1,1
"251720000000",54,68,1,1,1,0
"251728000000",45,45,1,1,1,0
"251736000000",56,NA,3,2,99,0
"251737000000",62,60,1,2,2,3
"251739000000",34,NA,3,1,99,0
"251740000000",NA,NA,NA,99,99,9
"251741000000",55,NA,3,7,99,2
"251741000000",55,NA,3,7,99,2
"251741000000",51,50,1,2,2,0
"251743000000",51,57,1,1,1,0
"251747000000",47,47,1,1,1,0
"251748000000",45,49,1,7,7,2
"251758000000",59,NA,3,1,99,9
"251758000000",62,NA,3,7,99,0
"251762000000",50,NA,3,99,99,9
"251764000000",76,NA,3,2,99,9
"251767000000",41,46,1,1,1,1
"251767000000",41,46,1,1,1,1
"251770000000",53,51,1,2,2,0
"251770000000",53,51,1,2,2,0
"251770000000",53,51,1,2,2,0
"251771000000",34,NA,3,2,99,0
"251789000000",53,55,1,2,2,0
"251793000000",56,57,1,1,1,0
"251797000000",52,56,1,1,1,0
"251797000000",29,NA,3,1,99,0
"251798000000",57,59,1,1,1,0
"251798000000",57,62,1,2,2,0
"251800000000",50,50,1,1,1,1
