"RECNUM","SEX","AGYSPNDS","AgeAtAdopt","ChildRace","BioMomAgeAtBirth","MOMARRD","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"250103000000",1,2,15,2,14,2,51,NA,3,2,99,0
"250106000000",2,2,13,1,22,2,58,68,1,1,1,0
"250115000000",1,2,18,1,NA,2,52,48,1,1,1,0
"250135000000",1,1,14,7,36,2,41,60,1,2,2,3
"250143000000",1,2,15,2,32,2,51,NA,3,2,99,0
"250151000000",2,2,15,1,33,1,47,NA,3,1,99,0
"250162000000",2,2,13,2,22,2,43,NA,3,2,99,0
"250164000000",1,2,13,99,32,2,64,67,1,1,1,9
"250178000000",1,2,14,1,18,2,56,57,1,1,1,0
"250179000000",1,2,13,1,22,2,45,46,1,1,1,0
"250179000000",1,2,13,1,27,1,39,41,1,1,3,0
"250179000000",1,2,13,2,17,2,55,NA,3,2,99,0
"250186000000",2,2,13,1,32,1,64,64,1,1,1,0
"250195000000",1,2,14,2,20,3,37,NA,3,2,99,0
"250200000000",1,2,13,99,18,2,44,44,1,1,1,9
"250209000000",1,2,13,1,27,2,40,NA,3,1,99,0
"250239000000",1,2,13,7,38,2,60,NA,4,2,99,9
"250239000000",1,2,13,1,32,1,56,NA,3,1,99,0
"250257000000",1,2,14,1,22,2,68,66,2,1,1,0
"250262000000",1,2,13,2,35,3,53,NA,3,2,99,0
"250268000000",1,2,17,7,25,2,66,NA,3,2,99,3
"250268000000",1,2,15,7,28,2,66,NA,3,2,99,3
"250268000000",1,2,15,7,28,2,66,NA,3,2,99,3
"250272000000",1,2,14,2,23,2,60,NA,3,2,99,0
"250279000000",2,2,13,2,18,2,67,71,1,2,2,0
"250287000000",1,2,13,1,31,1,47,45,1,1,1,0
"250302000000",2,2,14,2,21,2,33,NA,3,2,99,0
"250328000000",2,2,17,2,21,2,44,NA,3,2,99,0
"250332000000",2,2,13,1,29,1,45,48,1,1,1,0
"250344000000",1,2,14,2,35,3,67,NA,3,7,99,3
"250374000000",1,2,13,99,20,1,62,NA,3,2,99,9
"250380000000",1,2,12,1,18,2,46,42,1,1,1,0
"250394000000",1,2,15,2,21,2,45,NA,4,2,99,0
"250396000000",2,2,18,2,27,2,44,NA,3,2,99,0
"250505000000",2,2,12,99,28,2,56,63,1,1,1,9
"250508000000",2,2,17,2,28,2,31,NA,3,2,99,0
"250513000000",1,2,13,1,32,1,42,44,1,1,1,0
"250520000000",1,2,12,1,40,1,65,64,1,2,2,2
"250524000000",1,2,13,2,17,3,47,48,1,2,2,0
"250527000000",1,2,12,7,23,2,52,NA,3,2,99,3
"250531000000",2,2,15,2,20,3,52,NA,3,7,99,3
"250531000000",1,2,14,2,21,3,52,NA,3,7,99,3
"250549000000",2,2,12,1,23,2,74,52,1,1,1,0
"250556000000",2,2,12,1,24,2,67,NA,3,1,99,0
"250567000000",1,2,13,7,38,2,49,51,1,7,7,0
"250591000000",2,2,13,2,28,2,63,NA,3,1,99,1
"250596000000",2,2,14,1,18,2,54,51,1,1,1,0
"250598000000",2,2,12,1,29,1,49,NA,3,1,99,0
"250603000000",1,2,14,1,25,3,38,36,1,2,2,2
"250613000000",2,2,13,1,22,2,45,52,1,1,1,0
"250620000000",2,2,12,1,21,2,41,46,1,1,1,0
"250620000000",2,2,12,2,16,2,62,NA,3,7,99,3
"250637000000",2,2,12,1,23,2,69,71,1,1,1,0
"250643000000",2,2,13,2,29,2,53,NA,3,2,99,0
"250647000000",2,2,12,2,39,3,53,NA,3,2,99,0
"250647000000",2,2,15,7,21,2,47,50,1,7,7,0
"250650000000",1,1,12,2,27,2,60,NA,3,2,99,0
"250661000000",2,2,12,1,17,2,51,NA,3,1,99,0
"250664000000",2,2,11,1,27,3,53,NA,3,1,99,0
"250670000000",1,2,12,1,16,3,59,57,1,1,1,0
"250681000000",2,2,10,99,22,2,38,NA,3,2,99,9
"250693000000",2,2,13,7,17,3,58,60,1,2,2,3
"250694000000",2,2,12,1,19,1,45,45,1,1,1,0
