"RecNumbr","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"252620000000",44,56,NA,2,2,0
"252676000000",NA,NA,NA,NA,NA,NA
"252680000000",NA,NA,NA,NA,NA,NA
"260134000000",51,NA,NA,2,NA,NA
"260137000000",67,NA,1,7,NA,0
"260143000000",43,43,1,1,1,0
"260184000000",56,NA,NA,2,NA,0
"260232000000",38,38,1,2,2,0
"260238000000",NA,NA,NA,NA,NA,NA
"260238000000",55,NA,NA,2,NA,9
"260243000000",NA,NA,NA,NA,NA,NA
"260268000000",55,NA,NA,2,NA,0
"260282000000",73,NA,NA,2,NA,0
"260339000000",NA,NA,NA,NA,NA,NA
"260645000000",NA,NA,NA,NA,NA,NA
"260839000000",49,NA,NA,2,NA,0
"260930000000",56,NA,3,7,NA,NA
"260975000000",31,NA,NA,2,NA,9
"261121000000",35,NA,NA,2,NA,0
"261306000000",32,NA,3,2,NA,0
"261312000000",45,NA,NA,2,NA,0
"261315000000",47,49,NA,2,2,0
"261372000000",NA,NA,NA,NA,NA,9
"261530000000",55,NA,3,7,NA,NA
"261551000000",62,55,1,2,1,9
"261687000000",39,NA,NA,2,NA,0
"261691000000",41,NA,NA,2,NA,0
"261716000000",NA,NA,NA,NA,NA,NA
"261858000000",49,NA,3,2,NA,0
"261953000000",30,35,2,7,7,9
"261996000000",60,NA,3,2,NA,0
"262215000000",35,40,3,7,1,1
"262221000000",38,NA,2,7,NA,0
"262244000000",36,NA,NA,2,NA,0
"262251000000",55,NA,NA,7,NA,NA
"262366000000",57,NA,NA,7,NA,0
"262487000000",56,NA,NA,1,NA,0
"262501000000",72,NA,NA,7,NA,0
"262523000000",44,NA,NA,2,NA,0
"262610000000",55,53,3,2,2,0
"262639000000",49,NA,3,2,NA,0
"262668000000",71,74,3,2,2,0
"262672000000",38,NA,NA,2,NA,0
"262677000000",NA,NA,NA,NA,NA,NA
"262682000000",NA,NA,NA,NA,NA,NA
"262696000000",54,NA,3,2,NA,9
"10239993150",46,50,NA,1,1,0
"12337770030",55,NA,NA,2,NA,0
"242105000000",NA,NA,NA,NA,NA,NA
"242146000000",43,38,1,1,1,0
"242162000000",52,NA,4,1,NA,0
"242162000000",54,NA,NA,1,NA,0
"242162000000",NA,NA,NA,NA,NA,NA
"242165000000",NA,NA,NA,NA,NA,NA
"242178000000",NA,NA,NA,NA,NA,NA
"242185000000",NA,NA,NA,NA,NA,NA
"242194000000",64,66,NA,1,1,0
"242198000000",61,64,1,1,1,0
"250103000000",51,NA,3,2,NA,0
"250115000000",34,37,NA,1,1,0
"250118000000",34,31,NA,7,1,1
"250122000000",41,36,1,1,1,0
"250122000000",33,NA,NA,2,NA,NA
"250128000000",42,41,NA,7,7,0
"250133000000",NA,NA,NA,NA,NA,NA
"250139000000",NA,NA,NA,NA,NA,NA
"250139000000",45,NA,NA,2,NA,0
"250143000000",50,NA,NA,2,NA,0
"250151000000",46,NA,1,1,NA,0
"250179000000",NA,NA,NA,NA,NA,NA
"250201000000",40,NA,1,7,NA,NA
"250232000000",48,61,1,1,1,0
"250239000000",56,52,NA,2,2,0
"250270000000",NA,NA,NA,NA,NA,NA
"250273000000",47,43,NA,2,2,0
"250279000000",NA,NA,NA,NA,NA,NA
"250284000000",56,NA,3,7,NA,9
"250289000000",54,57,2,1,1,1
"250328000000",NA,NA,NA,NA,NA,NA
"250348000000",52,56,1,7,7,2
"250357000000",NA,NA,NA,NA,NA,NA
"250364000000",53,NA,3,2,NA,0
"250369000000",40,NA,NA,2,NA,0
"250394000000",44,NA,NA,2,NA,0
"250531000000",NA,NA,NA,NA,NA,NA
"250572000000",52,70,NA,1,1,1
"250577000000",45,NA,3,2,NA,0
"250596000000",NA,NA,NA,NA,NA,NA
"250606000000",41,NA,3,2,NA,0
"250666000000",52,NA,3,2,NA,0
"250820000000",38,NA,NA,2,NA,NA
"250820000000",54,NA,3,7,NA,0
"250842000000",50,47,NA,2,2,0
"250872000000",51,NA,3,2,NA,0
"250902000000",49,NA,3,2,NA,NA
"250918000000",47,NA,NA,7,NA,0
"250919000000",46,NA,3,2,NA,0
"250940000000",49,64,1,7,7,3
"250966000000",52,50,1,2,2,3
"250996000000",NA,NA,NA,NA,NA,NA
"251178000000",NA,NA,1,NA,NA,NA
"251199000000",66,NA,NA,7,NA,0
"251225000000",NA,NA,NA,NA,NA,NA
"251253000000",77,NA,3,7,NA,0
"251264000000",NA,NA,NA,NA,NA,NA
"251282000000",32,NA,3,7,NA,NA
"251283000000",48,NA,3,2,NA,0
"251288000000",NA,NA,NA,NA,NA,NA
"251379000000",43,33,4,2,2,3
"251436000000",NA,NA,NA,NA,NA,NA
"251477000000",58,62,NA,7,7,3
"251494000000",55,NA,NA,2,NA,0
"251511000000",NA,NA,NA,NA,NA,NA
"251531000000",33,37,NA,2,2,3
"251532000000",31,NA,3,7,NA,0
"251537000000",53,52,1,1,1,0
"251621000000",45,62,NA,7,7,0
"251638000000",NA,NA,NA,NA,NA,9
"251671000000",NA,NA,NA,NA,NA,NA
"251746000000",NA,NA,NA,NA,NA,NA
"251776000000",56,67,1,2,2,2
"251835000000",41,NA,NA,1,NA,NA
"251870000000",NA,NA,NA,NA,NA,9
"251878000000",NA,NA,NA,NA,NA,NA
"251969000000",48,NA,3,2,NA,0
"251995000000",NA,NA,NA,NA,NA,9
"252039000000",28,NA,4,7,NA,NA
"252067000000",46,NA,NA,1,NA,9
"252067000000",52,NA,3,2,NA,0
"252068000000",39,NA,3,7,NA,0
"252132000000",34,NA,NA,2,NA,0
"252146000000",47,NA,NA,2,NA,0
"252165000000",44,NA,3,7,NA,0
"252197000000",48,NA,NA,7,NA,NA
"252210000000",NA,NA,NA,NA,NA,NA
"252212000000",53,NA,NA,1,NA,0
"252216000000",NA,NA,NA,NA,NA,NA
"252242000000",47,NA,1,1,NA,0
"252244000000",50,NA,3,2,NA,0
"252247000000",67,NA,NA,2,NA,NA
"252250000000",NA,NA,NA,NA,NA,NA
"252253000000",50,52,1,1,1,0
"252255000000",57,NA,3,2,NA,0
"252256000000",70,NA,3,7,NA,NA
"252258000000",NA,NA,NA,NA,NA,NA
"252258000000",80,NA,3,2,NA,NA
"252263000000",NA,NA,NA,NA,NA,NA
"252264000000",NA,NA,NA,NA,NA,NA
"252266000000",NA,NA,NA,NA,NA,NA
"252266000000",NA,NA,NA,NA,NA,NA
"252273000000",57,NA,NA,2,NA,NA
"252275000000",NA,NA,NA,NA,NA,NA
"252276000000",NA,NA,NA,NA,NA,NA
"252287000000",46,44,1,1,1,0
"252287000000",53,60,1,1,1,0
"252292000000",42,NA,3,2,NA,0
"252293000000",NA,NA,NA,NA,NA,NA
"252297000000",NA,NA,NA,NA,NA,9
"252305000000",NA,NA,NA,NA,NA,NA
"252306000000",NA,NA,NA,NA,NA,NA
"252308000000",36,32,1,1,1,0
"252309000000",46,41,1,1,1,0
"252311000000",NA,NA,NA,NA,NA,NA
"252313000000",57,NA,NA,2,NA,0
"252316000000",47,45,1,1,1,0
"252319000000",37,55,1,1,1,0
"252322000000",51,56,1,1,1,0
"252322000000",NA,NA,NA,NA,NA,NA
"252323000000",NA,NA,NA,NA,NA,NA
"252324000000",45,46,NA,1,1,0
"252325000000",NA,NA,NA,NA,NA,NA
"252335000000",55,57,1,1,1,0
"252335000000",47,NA,NA,2,NA,9
"252337000000",68,67,NA,2,2,0
"252339000000",NA,NA,NA,NA,NA,NA
"252339000000",35,NA,4,2,NA,0
"252339000000",68,66,NA,1,1,0
"252347000000",NA,NA,NA,NA,NA,NA
"252347000000",59,NA,3,2,NA,9
"252352000000",66,NA,NA,2,NA,0
"252356000000",40,NA,1,1,NA,0
"252356000000",62,NA,3,2,NA,NA
"252358000000",NA,NA,NA,NA,NA,NA
"252361000000",59,NA,NA,1,NA,0
"252361000000",55,NA,3,2,NA,0
"252362000000",NA,NA,NA,NA,NA,NA
"252366000000",42,NA,1,2,NA,0
"252367000000",42,54,NA,2,2,9
"252369000000",NA,NA,NA,NA,NA,NA
"252370000000",NA,NA,NA,NA,NA,NA
"252372000000",40,45,1,1,2,9
"252372000000",40,45,1,1,2,9
"252376000000",43,37,1,1,1,0
"252380000000",NA,NA,NA,NA,NA,NA
"252382000000",43,41,1,1,1,0
"252384000000",NA,NA,NA,NA,NA,NA
"252392000000",NA,NA,NA,NA,NA,NA
"252393000000",59,63,1,1,1,0
"252399000000",48,51,1,1,1,0
"252401000000",50,51,1,2,2,0
"252401000000",46,47,3,4,1,1
"252404000000",45,NA,NA,2,NA,0
"252404000000",42,23,1,1,1,0
"252410000000",45,42,2,1,1,1
"252417000000",NA,NA,NA,NA,NA,NA
"252418000000",NA,NA,NA,NA,NA,NA
"252423000000",54,NA,NA,7,NA,NA
"252423000000",NA,NA,NA,NA,NA,9
"252424000000",NA,NA,NA,NA,NA,NA
