"RECNUM","SEX","AGYSPNDS","AgeAtAdopt","ChildRace","BioMomAgeAtBirth","MOMARRD"
"251698000000",1,2,9,7,28,2
"251715000000",1,2,10,2,24,2
"251720000000",1,2,10,1,26,2
"251728000000",2,2,10,1,21,1
"251736000000",2,2,10,2,26,2
"251737000000",2,2,10,7,40,3
"251739000000",2,2,9,1,20,2
"251740000000",1,2,10,2,30,NA
"251741000000",1,2,14,1,28,3
"251741000000",1,2,12,1,29,1
"251741000000",2,2,9,2,19,2
"251743000000",2,2,10,1,21,2
"251747000000",1,2,9,1,27,3
"251748000000",1,2,10,1,26,2
"251758000000",1,2,10,99,31,2
"251758000000",2,2,14,7,32,3
"251762000000",2,2,9,2,29,3
"251764000000",2,2,10,99,24,2
"251767000000",1,2,9,7,35,2
"251767000000",2,2,9,7,35,2
"251770000000",2,2,15,2,25,2
"251770000000",2,2,13,2,26,2
"251770000000",2,2,12,2,27,2
"251771000000",2,2,9,2,19,2
"251789000000",1,2,9,2,29,2
"251793000000",1,2,10,1,25,2
"251797000000",2,2,9,1,23,2
"251797000000",2,2,10,1,38,2
"251798000000",2,2,11,1,25,3
"251798000000",2,2,10,2,27,2
"251800000000",1,2,9,2,20,2
"251802000000",1,2,9,2,16,2
"251816000000",1,2,9,2,26,2
"251819000000",1,2,19,2,19,2
"251821000000",1,2,10,1,25,2
"251827000000",2,2,9,4,18,2
"251828000000",1,2,9,7,40,NA
"251831000000",1,2,5,1,28,2
"251834000000",2,2,16,2,18,2
"251838000000",1,2,13,2,34,3
"251840000000",1,2,9,1,42,2
"251841000000",2,2,9,1,22,1
"251844000000",2,2,9,2,29,2
"251848000000",1,2,8,99,22,1
"251854000000",1,2,9,1,26,2
"251862000000",1,2,10,7,37,2
"251863000000",1,2,14,99,30,3
"251866000000",2,2,11,2,43,2
"251866000000",1,2,13,2,30,2
"251866000000",2,2,12,2,31,2
"251869000000",1,2,10,2,26,2
"251869000000",1,2,9,1,22,2
"251871000000",2,2,11,2,29,2
"251871000000",2,2,9,2,31,2
"251874000000",2,2,9,2,20,2
"251877000000",1,2,10,1,32,1
"251878000000",1,2,9,1,27,2
"251880000000",2,2,9,7,24,2
"251885000000",1,2,10,99,24,2
"251888000000",2,2,14,7,20,3
"251890000000",1,2,9,2,24,2
"251893000000",2,2,8,1,17,2
"251903000000",1,2,8,2,35,2
"251907000000",2,2,9,7,26,3
"251911000000",2,2,11,2,29,2
"251911000000",2,2,5,7,15,2
"251921000000",1,2,9,1,28,2
"251921000000",1,2,8,1,25,2
"251927000000",2,2,10,7,24,3
"251931000000",1,2,10,2,32,2
"251932000000",1,2,10,2,17,2
"251938000000",2,2,9,7,34,2
"251949000000",1,2,9,2,34,2
"251950000000",2,2,9,2,31,2
"251960000000",1,2,11,1,27,1
"251960000000",2,2,12,1,26,1
"251961000000",2,2,10,2,28,2
"251967000000",1,2,10,2,22,2
"251969000000",1,2,10,2,25,2
"251969000000",2,2,15,2,20,2
"251973000000",2,2,12,2,23,2
"251974000000",2,2,9,1,NA,NA
"251974000000",1,2,8,1,20,2
"251974000000",1,2,8,1,21,2
"251984000000",1,2,9,2,33,2
"251994000000",1,2,9,2,36,2
"251994000000",1,2,8,6,16,2
"251995000000",1,2,8,1,18,2
"251996000000",1,2,7,1,27,2
"252000000000",2,2,8,1,31,1
"252001000000",2,2,9,2,37,2
"252002000000",1,2,9,1,24,2
"252012000000",1,2,8,2,24,2
"252017000000",1,2,13,7,23,2
"252017000000",1,2,9,7,28,2
"252017000000",1,2,9,1,27,2
"252018000000",1,2,8,2,31,2
"252020000000",2,2,8,99,31,3
"252028000000",2,2,9,4,20,2
"252032000000",2,2,13,7,NA,2
"252035000000",1,2,8,1,26,2
"252046000000",2,2,9,99,28,2
"252059000000",1,2,8,99,23,2
"252065000000",1,2,9,2,24,NA
"252066000000",2,2,8,99,22,2
"252069000000",2,2,8,1,19,2
"252072000000",1,2,8,1,22,2
"252075000000",2,2,11,7,25,2
"252075000000",1,2,10,7,27,2
"252079000000",1,2,8,2,27,2
"252082000000",1,2,11,2,15,2
"252083000000",2,2,8,2,22,2
"252084000000",2,2,11,2,23,2
"252087000000",2,2,8,1,20,1
"252087000000",2,2,8,2,24,2
"252092000000",2,2,8,7,33,3
"252103000000",2,2,13,7,36,2
"252105000000",2,2,9,1,22,3
"252111000000",2,2,9,1,28,1
"252113000000",1,2,11,2,21,2
"252113000000",2,2,10,2,23,2
"252120000000",1,2,10,2,19,2
"252120000000",2,2,13,2,16,2
"252122000000",1,2,8,1,20,2
"252126000000",1,2,9,2,17,2
"252138000000",2,2,11,2,NA,2
"252142000000",2,2,11,2,27,2
"252146000000",1,2,8,1,28,2
"252147000000",1,2,9,2,18,2
"252150000000",2,2,8,2,19,2
"252152000000",2,2,9,2,33,2
"252152000000",1,2,8,1,23,2
"252158000000",2,2,9,2,21,2
"252158000000",1,2,8,99,24,NA
"252159000000",1,2,8,2,29,2
"252160000000",2,2,8,2,26,2
"252164000000",1,2,9,2,21,2
"252166000000",2,2,10,99,20,3
"252166000000",2,2,10,99,20,3
"252168000000",1,2,8,7,17,2
"252169000000",2,2,10,1,21,2
"252170000000",2,2,8,1,34,1
"252177000000",2,2,10,2,21,3
"252178000000",2,2,15,7,20,3
"252181000000",1,2,8,7,29,1
"252183000000",1,2,8,2,37,3
"252184000000",2,2,10,7,20,2
"252184000000",1,2,9,7,22,2
"252184000000",1,2,7,1,27,2
"252184000000",2,2,17,7,17,3
"252185000000",2,2,14,2,25,2
"252186000000",2,2,8,7,15,3
"252186000000",2,2,8,2,35,3
"252186000000",1,2,8,1,40,2
"252187000000",1,2,8,1,34,1
"252190000000",2,2,7,1,19,3
"252191000000",1,2,8,1,19,2
"252194000000",2,2,8,2,42,3
"252199000000",2,2,13,7,28,2
"252209000000",1,2,16,1,19,2
"252212000000",1,2,15,1,24,3
"252214000000",2,2,10,99,24,2
"252222000000",2,2,16,2,23,2
"252224000000",2,2,16,1,NA,2
"252237000000",2,2,16,2,20,2
"252240000000",1,2,17,2,27,2
"252247000000",2,2,16,7,16,2
"252259000000",1,2,16,2,35,2
"252287000000",2,2,15,1,21,2
"252309000000",1,2,15,1,18,2
"252313000000",2,2,16,2,19,2
"252322000000",2,2,15,1,41,1
"252339000000",2,2,15,1,20,2
"252347000000",1,2,17,2,28,1
"252361000000",2,2,15,2,24,3
"252376000000",1,2,15,1,25,1
"252382000000",1,2,14,99,26,2
"252382000000",1,2,15,1,29,1
"252397000000",2,2,15,1,27,2
"252398000000",2,2,15,1,31,1
"252401000000",1,2,15,2,25,1
"252404000000",1,2,15,1,18,2
"252410000000",1,2,15,2,35,2
"252412000000",2,2,16,7,33,2
"252423000000",2,1,15,2,39,2
"252429000000",2,2,16,2,27,2
"252452000000",1,1,16,2,23,2
"252458000000",2,2,14,99,17,2
"252470000000",1,2,14,1,20,2
"252472000000",2,1,15,2,29,3
"252481000000",2,2,14,2,26,2
"252492000000",1,2,16,7,33,2
"252497000000",2,2,15,7,22,1
"252505000000",1,2,14,1,28,2
"252518000000",1,1,15,2,25,2
"252521000000",1,2,15,2,27,2
"252523000000",2,2,15,1,20,2
"252524000000",1,2,14,1,31,1
"252528000000",2,2,15,1,24,3
"252535000000",1,2,14,1,22,2
"252564000000",1,2,15,1,16,2
"252571000000",2,2,16,2,25,2
"252611000000",1,2,15,1,32,2
"252615000000",1,2,14,2,38,2
"252621000000",2,2,15,1,36,1
"252622000000",1,2,15,2,31,2
"252631000000",2,2,14,1,23,2
"252631000000",2,2,15,2,42,2
"252632000000",2,2,14,2,24,2
"252636000000",1,2,13,1,18,3
"252638000000",1,2,14,1,24,2
"252644000000",2,2,14,2,20,2
"252646000000",2,2,13,99,27,2
"252670000000",2,2,14,1,38,1
"252677000000",2,2,13,1,38,1
"252682000000",2,2,14,1,30,1
"252689000000",2,2,14,2,21,2
"260101000000",2,2,7,2,19,2
"260101000000",1,2,6,1,28,2
"260102000000",2,2,6,1,22,1
"260102000000",2,2,6,1,29,2
"260104000000",2,2,8,7,17,2
"260107000000",1,2,8,99,22,2
"260107000000",1,2,11,2,18,2
"260110000000",1,2,6,99,19,1
"260111000000",2,2,8,7,21,2
"260112000000",2,2,6,2,25,2
"260115000000",1,2,6,7,43,NA
"260117000000",1,2,9,99,23,2
"260119000000",1,2,6,1,20,2
"260121000000",1,2,6,1,37,2
"260123000000",1,2,7,99,25,2
"260124000000",2,2,6,2,19,2
"260125000000",2,2,7,2,25,2
"260129000000",2,2,5,1,20,3
"260129000000",1,2,10,7,19,3
"260129000000",1,2,7,7,41,2
"260129000000",1,2,6,2,26,2
"260131000000",2,2,6,99,24,3
"260134000000",2,2,10,7,25,3
"260134000000",1,2,8,7,27,3
"260134000000",1,2,6,7,29,3
"260139000000",2,2,7,2,20,2
"260141000000",1,2,10,7,25,1
"260141000000",1,2,6,7,29,1
"260148000000",2,2,5,1,27,1
"260153000000",2,2,6,2,19,3
"260153000000",1,2,7,99,38,2
"260153000000",2,2,15,99,29,2
"260156000000",1,2,6,1,22,2
"260157000000",2,2,10,2,19,2
"260157000000",2,2,8,2,21,2
"260157000000",1,2,7,99,22,2
"260158000000",1,2,6,2,35,3
"260159000000",1,2,7,1,21,3
"260160000000",2,2,7,2,34,2
"260160000000",1,2,14,2,43,2
"260163000000",2,2,8,2,30,2
"260165000000",2,2,7,2,25,2
"260165000000",2,2,9,2,22,2
"260165000000",2,2,6,7,27,2
"260168000000",1,2,5,2,15,2
"260169000000",2,2,7,2,35,3
"260170000000",1,2,17,2,15,3
"260171000000",2,2,6,2,44,3
"260176000000",1,2,5,1,28,1
"260176000000",1,2,6,7,29,2
"260177000000",2,2,7,2,21,2
"260177000000",2,2,10,2,19,2
"260181000000",1,2,6,7,35,3
"260185000000",1,2,9,2,32,2
"260187000000",1,2,6,1,27,2
"260192000000",1,2,6,2,21,2
"260192000000",1,2,6,2,31,2
"260192000000",2,2,6,2,30,2
"260192000000",2,2,6,1,22,2
"260198000000",2,2,6,2,16,2
"260201000000",2,2,13,7,31,2
"260201000000",1,2,12,7,32,2
