"RecNumbr","SEX","CLINDIS","AgeAtEnd","RaceEthn","P1AgeAtBirth","CTKFAMST","TOTALREM","NUMPLEP","MANREM","RemRsnChil","IsTPR","ado","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"242103000000",1,1,16,1,35,1,1,7,2,0,1,0,32,38,1,1,1,0
"242104000000",1,1,17,2,NA,5,1,10,2,0,1,0,58,NA,3,2,NA,0
"242109000000",1,2,17,1,26,1,1,3,2,0,0,0,67,NA,2,1,NA,0
"242110000000",2,2,17,7,18,2,1,8,2,0,1,0,NA,NA,NA,NA,NA,NA
"242114000000",2,1,16,7,33,2,1,7,2,0,0,0,49,50,1,2,2,3
"242115000000",1,1,17,1,31,2,1,7,2,1,1,0,NA,NA,NA,NA,NA,NA
"242122000000",1,1,16,2,32,2,1,8,2,0,1,0,NA,NA,NA,NA,NA,NA
"242124000000",2,2,17,1,NA,5,1,3,2,0,1,0,NA,NA,NA,NA,NA,NA
"242124000000",2,2,16,99,32,3,2,6,2,0,0,0,NA,NA,NA,NA,NA,9
"242132000000",1,2,17,7,21,3,1,8,2,0,1,0,NA,NA,NA,NA,NA,NA
"242133000000",1,1,16,1,20,2,2,6,2,0,0,1,54,54,1,1,1,0
"242139000000",1,1,16,1,31,3,1,2,2,0,1,1,53,55,1,1,1,0
"242147000000",1,1,16,2,45,3,2,3,2,0,1,1,64,NA,3,2,NA,0
"242156000000",1,1,17,2,18,3,2,4,2,0,1,0,NA,NA,NA,NA,NA,NA
"242158000000",2,1,17,7,34,4,2,2,1,1,1,0,70,NA,3,2,NA,NA
"242173000000",2,1,16,1,26,3,2,4,2,0,1,1,43,NA,3,1,NA,0
"242185000000",2,1,17,2,NA,NA,1,16,2,0,1,0,NA,NA,NA,NA,NA,NA
"242188000000",1,1,16,1,27,1,1,5,2,0,1,0,52,NA,4,1,NA,0
"242193000000",2,1,17,2,36,3,1,12,2,0,1,0,NA,NA,NA,NA,NA,NA
"242194000000",2,1,16,2,21,3,1,5,2,0,0,0,NA,NA,NA,NA,NA,NA
"250143000000",2,2,17,2,31,1,1,2,2,0,1,0,51,NA,NA,2,NA,0
"250143000000",1,1,17,2,39,4,1,3,2,0,0,0,56,NA,NA,2,NA,0
"250146000000",1,2,17,2,17,1,2,4,2,0,1,0,48,NA,3,2,NA,0
"250234000000",1,1,17,2,NA,NA,1,4,1,0,1,0,NA,NA,NA,NA,NA,NA
"250256000000",1,1,17,2,35,2,1,5,2,0,1,0,40,42,1,2,7,0
"250388000000",2,1,17,2,41,1,3,4,2,0,1,0,50,NA,3,2,NA,0
"250395000000",1,1,16,2,27,1,1,13,2,1,1,0,57,70,3,2,2,0
"250500000000",2,1,16,2,20,3,2,1,2,0,1,0,NA,NA,NA,NA,NA,NA
"250527000000",1,1,16,4,19,3,2,6,2,0,1,0,NA,NA,NA,NA,NA,NA
"250535000000",1,1,17,1,25,2,2,5,NA,NA,1,0,NA,NA,NA,NA,NA,NA
"250547000000",1,1,17,2,19,3,2,4,2,0,0,0,49,NA,NA,2,NA,0
"250606000000",1,2,17,2,25,3,2,3,2,0,1,0,53,54,2,2,2,0
"250661000000",2,2,17,2,NA,NA,2,6,2,0,1,0,46,36,3,7,7,3
"250698000000",1,1,17,99,20,1,1,5,2,0,1,0,67,NA,NA,2,NA,9
"250828000000",2,1,17,2,21,3,1,10,2,0,1,0,NA,NA,NA,NA,NA,NA
"250828000000",1,1,16,1,23,3,1,4,2,0,1,0,45,NA,4,7,NA,NA
"250839000000",2,1,16,2,27,3,1,3,2,0,1,0,NA,NA,NA,NA,NA,NA
"251108000000",2,2,17,7,29,3,1,5,2,0,1,0,30,NA,3,2,NA,NA
"251138000000",2,2,17,2,30,1,1,12,2,0,0,0,NA,NA,NA,NA,NA,NA
"251244000000",2,1,16,2,23,2,3,1,2,0,1,1,34,36,1,1,1,1
"251282000000",2,1,17,2,60,3,1,1,1,0,1,0,33,NA,3,7,NA,NA
"251391000000",2,2,16,4,NA,5,3,3,2,0,1,0,45,NA,1,1,NA,NA
"251469000000",1,1,17,2,22,3,1,9,2,0,1,0,NA,NA,NA,NA,NA,NA
"251488000000",2,2,16,2,34,2,1,1,2,0,1,1,58,57,NA,2,2,0
